preschool,address,city,state,zip,provider_type,license_number,license_status_in_cdss_2025_export,licensed_capacity,phone,license_first_date,elfa_network_member,preschool_screening_rating,rating_basis,rating_limitations,address_source,cdss_facility_detail_url,cdss_dataset_url,elfa_directory_url,cdss_export_data_date,elfa_directory_access_date,latitude,longitude,geocode_matched_address,geocode_match_method,geocode_source,geocode_data_as_of
C5 SF Permit Building Center,"49 South Van Ness Ave, #310",San Francisco,CA,94103,DAY CARE CENTER,384004798,LICENSED,54,(415) 652-0820,12/29/2023,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384004798,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7744257,-122.418033,49 SOUTH VAN NESS AVE,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Catholic Charities CYO Treasure Island Child Development Center - CYO- Treasure Island,850 Avenue D,San Francisco,CA,94130,DAY CARE CENTER,384002011,LICENSED,60,(415) 834-0614,1/29/2010,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384002011,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.8250046,-122.3731324,"850 AVE D, SAN FRANCISCO, CA, 94130",US Census address match,US Census Geocoder Public_AR_Current,2026-09-22
Centro Las Olas,3737 26th St,San Francisco,CA,94110,DAY CARE CENTER,384001625,LICENSED,16,(415) 821-6527,6/5/2007,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384001625,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7483618,-122.4240475,3737 26TH ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Cheryl Andersen-Sorensen Childcare Center - The Land's End School,"4150 Clement St, T35",San Francisco,CA,94121,DAY CARE CENTER,380506270,LICENSED,30,(415) 751-8511,12/2/1993,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F380506270,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7815375,-122.5048469,4150 CLEMENT ST,DataSF normalized street match,DataSF Enterprise Addressing System,2026-09-21
Chibi-Chan - Chibi-Chan Preschool,2507 Pine St,San Francisco,CA,94115,DAY CARE CENTER,384000923,LICENSED,56,(415) 351-0955,7/19/2001,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384000923,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7871596,-122.437269,2507 PINE ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Chibi-Chan - Chibi-Chan Too Preschool,800 Presidio Ave,San Francisco,CA,94115,DAY CARE CENTER,384002962,LICENSED,36,(415) 351-0955,9/26/2017,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384002962,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7843358,-122.446059,800 PRESIDIO AVE,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Child's Time Preschool,3061 San Bruno Ave,San Francisco,CA,94134,DAY CARE CENTER,384000521,LICENSED,22,(415) 656-0380,10/5/1999,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384000521,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.722929,-122.4014337,3061 SAN BRUNO AVE,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Chinatown Community Children's Center - Chinatown Community Children's Center - Clay Site,979 Clay St,San Francisco,CA,94108,DAY CARE CENTER,380505035,LICENSED,60,(415) 986-2528,3/5/1982,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F380505035,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7938197,-122.4091456,979 CLAY ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Chinatown Community Children's Center - Chinatown Community Children's Center - North Beach,715 Chestnut St,San Francisco,CA,94133,DAY CARE CENTER,384002724,LICENSED,24,(415) 986-2528,7/1/2016,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384002724,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.8032135,-122.4152264,715 CHESTNUT ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Community Preschool Grace Cathedral The,1100 California St,San Francisco,CA,94109,DAY CARE CENTER,384001831,LICENSED,30,(415) 573-8647,9/23/2008,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384001831,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7916487,-122.4133103,1100 CALIFORNIA ST,Exact DataSF address; source ZIP differs,DataSF Enterprise Addressing System,2026-09-21
Compass - Compass Children's Center,144 Leavenworth St,San Francisco,CA,94102,DAY CARE CENTER,384000988,LICENSED,45,415-644-0504 x3101,9/6/2002,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384000988,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7824293,-122.4137169,144 LEAVENWORTH ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Compass - Helen Hawk,111 Page St,San Francisco,CA,94102,DAY CARE CENTER,380506508,LICENSED,9,415-644-0504 x3102,1/31/1995,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F380506508,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7737417,-122.4230438,111 PAGE ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Congregation Beth Sholom Preschool,301 14th Ave,San Francisco,CA,94118,DAY CARE CENTER,384000303,LICENSED,76,(415) 221-8736,9/15/1997,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384000303,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7823601,-122.4732048,301 14TH AVE,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Cross Cultural Family Center - 30th Avenue,741 30th Ave,San Francisco,CA,94121,DAY CARE CENTER,380505039,LICENSED,29,(415) 668-6539,8/6/1987,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F380505039,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7751179,-122.4898858,741 30TH AVE,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Cross Cultural Family Center - 31st Avenue,750 31st Ave,San Francisco,CA,94121,DAY CARE CENTER,380504386,LICENSED,43,(415) 668-7863,1/20/1983,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F380504386,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7750816,-122.4906805,750 31ST AVE,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Cross Cultural Family Center - Eddy Street,1672 Eddy St,San Francisco,CA,94115,DAY CARE CENTER,380504742,LICENSED,50,(415) 567-9126,3/10/1986,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F380504742,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7811877,-122.43509,1672 EDDY ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Cross Cultural Family Center - Golden Gate,1455 Golden Gate Ave,San Francisco,CA,94115,DAY CARE CENTER,384004423,LICENSED,32,(415) 921-7019,7/23/2021,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384004423,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7789392,-122.4344321,1455 GOLDEN GATE AVE,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Cross Cultural Family Center - Heritage Center,245 Rey St,San Francisco,CA,94134,DAY CARE CENTER,384002239,LICENSED,20,(415) 921-7019,2/14/2012,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384002239,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7102121,-122.4125148,245 REY ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Cross Cultural Family Center - John King Center,500 Raymond Ave,San Francisco,CA,94134,DAY CARE CENTER,384002237,LICENSED,24,(415) 921-7019,2/1/2012,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384002237,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7154654,-122.4136398,500 RAYMOND AVE,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
Cross Cultural Family Center - Leland Center,325 Leland Ave,San Francisco,CA,94132,DAY CARE CENTER,384002242,LICENSED,88,(415) 921-7019,2/1/2012,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384002242,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7129659,-122.4097444,325 LELAND AVE,Exact DataSF address; source ZIP differs,DataSF Enterprise Addressing System,2026-09-21
Cross Cultural Family Center - Raymond,50 Raymond,San Francisco,CA,94134,DAY CARE CENTER,384002448,LICENSED,40,(415) 921-7019,5/27/2015,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384002448,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7122515,-122.4042255,"50 RAYMOND AVE, SAN FRANCISCO, CA, 94134",US Census address match,US Census Geocoder Public_AR_Current,2026-09-22
Cross Cultural Family Center - Tucker Center,103 Tucker,San Francisco,CA,94134,DAY CARE CENTER,384002241,LICENSED,40,(415) 921-7019,2/1/2012,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384002241,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.715902,-122.4060281,"103 TUCKER AVE, SAN FRANCISCO, CA, 94134",US Census address match,US Census Geocoder Public_AR_Current,2026-09-22
Cross Cultural Family Center - Turk Center,259 Turk St,San Francisco,CA,94102,DAY CARE CENTER,380506340,LICENSED,53,(415) 928-5178,1/21/1994,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F380506340,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7827772,-122.4133176,259 TURK ST,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
FACES SF - FACESSF - Bayview,100 Whitney Young Circle,San Francisco,CA,94124,DAY CARE CENTER,384002199,LICENSED,92,(415) 567-2357,6/30/2011,Yes,A - ELFA quality standards + licensed,Listed in San Francisco DEC's ELFA quality network and shown as LICENSED in the CDSS child care center export dated 2025-05-25.,"Screening category, not a standardized academic or review-site rating. Check current CCLD inspections/complaints, visit the site, and confirm age fit, availability, cost, staffing, and curriculum.",SF DEC ELFA directory,https://www.ccld.dss.ca.gov/carefacilitysearch/?Rewrite=FacDetail%2F384002199,https://data.ca.gov/dataset/community-care-licensing-facilities,https://legacy.sfdec.org/early-learning-for-all/early-learning-programs/,2025-05-25,2026-09-22,37.7340401,-122.3842132,100 WHITNEY YOUNG CIR,Exact DataSF address,DataSF Enterprise Addressing System,2026-09-21
